university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
jamia-hamdard,B.Sc. (Hons. With Research) Biotechnology,UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://www.jamiahamdard.ac.in/uploads/files/prospectus_2026-2027_@_2-July.pdf,no,,bsc-biological-sciences,"USD 2,300/yr in the Foreign Nationals fee table (Fee_structure.pdf, ""FEE STRUCTURE 2025-26""); packager must confirm a 2026-27 edition or publish as indicative with the 2025-26 year stated."
jamia-hamdard,B.Sc. (Hons. With Research) Clinical Research,UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bsc-allied-health-sciences,USD 2300/yr in the Foreign Nationals fee table. No canonical clinical-research bachelor's slug exists. Taxonomy batch-3: former gap proposal bsc-clinical-research mapped to broader parent bsc-allied-health-sciences - No clinical-research canonical; the allied-health parent explicitly covers clinical research as a health-science specialisation.
jamia-hamdard,B.Sc. (Hons.) Biochemistry,UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bsc-biological-sciences,"USD 2300/yr, shared row ""(Biochemistry, Botany, Chemistry, Toxicology)"" in the Foreign Nationals fee table. Taxonomy batch-3: former gap proposal bsc-biochemistry mapped to broader parent bsc-biological-sciences - Biochemistry is a life-science discipline; existing biological-sciences parent (as UoH M.Sc. Biochemistry)."
jamia-hamdard,B.Sc. (Hons.) Botany,UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bsc-biological-sciences,"USD 2300/yr, shared fee row with Biochemistry/Chemistry/Toxicology in the Foreign Nationals fee table."
jamia-hamdard,B.Sc. (Hons.) Chemistry,UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bsc-chemistry,"USD 2300/yr, shared fee row with Biochemistry/Botany/Toxicology in the Foreign Nationals fee table."
jamia-hamdard,B.Sc. (Hons.) Toxicology,UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bsc-biological-sciences,"USD 2300/yr, shared fee row with Biochemistry/Botany/Chemistry in the Foreign Nationals fee table. Taxonomy batch-3: former gap proposal bsc-toxicology mapped to broader parent bsc-biological-sciences - Toxicology is a life-science specialisation; existing biological-sciences parent."
jamia-hamdard,B.Sc. (Forestry),UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://www.jamiahamdard.ac.in/uploads/files/prospectus_2026-2027_%40_2-July.pdf#page=150,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bachelor-forestry,Priced only in the Indian-students fee table (INR 110000/yr); not found as a line item in the Foreign Nationals or SAARC USD tables in this pass. Needs per-programme confirmation before packaging. Phase D 2026-09-21: resolved - the 2026-27 prospectus Fee Structure (p. 150) lists a Foreign Nationals USD fee for this programme.
jamia-hamdard,B.Sc. (Material Science & Nano Tech),UG,School of Chemical and Life Sciences,4 years,New Delhi,on-campus,open_to_international,https://www.jamiahamdard.ac.in/uploads/files/prospectus_2026-2027_%40_2-July.pdf#page=150,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,bsc-physics,Priced only in the Indian-students fee table; not found in the Foreign Nationals USD table in this pass. Needs per-programme confirmation. Taxonomy batch-3: former gap proposal bsc-material-science-nanotechnology mapped to broader parent bsc-physics - Materials science/nanotechnology B.Sc. is physics-led; nearest existing parent is B.Sc. Physics. Phase D 2026-09-21: resolved - the 2026-27 prospectus Fee Structure (p. 150) lists a Foreign Nationals USD fee for this programme.
jamia-hamdard,M.Sc. (Biochemistry),PG,School of Chemical and Life Sciences,2 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,msc-biological-sciences,USD 2200/yr in the Foreign Nationals fee table. Taxonomy batch-3: former gap proposal msc-biochemistry resolved to existing canonical msc-biological-sciences - Same mapping as UoH M.Sc. Biochemistry (existing parent).
jamia-hamdard,M.Sc. (Botany),PG,School of Chemical and Life Sciences,2 years,New Delhi,on-campus,open_to_international,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,https://ums.jamiahamdard.ac.in/Files/Fee_structure.pdf,,no,,msc-biological-sciences,USD 2200/yr in the Foreign Nationals fee table.
