university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
op-jindal-global-university,B.A. LL.B. (Hons.),UG,Jindal Global Law School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,llb,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,BBA LL.B. (Hons.),UG,Jindal Global Law School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,yes,jgu-jgls-bba-llb-hons,llb,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,B. Com LL.B. (Hons.),UG,Jindal Global Law School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,yes,jgu-jgls-bcom-llb-hons,llb,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,B.A. Legal Studies,UG,Jindal Global Law School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:bachelor-legal-studies,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,B.A. Criminology & Criminal Justice,UG,Jindal Global Law School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:master-criminology-criminal-justice,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,B.A. in AI & Law,UG,Jindal Global Law School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:bachelor-ai-law,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,BBA (Hons.) Marketing/HR/Finance,UG,Jindal Global Business School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:bba,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,BBA (Hons.) Business Analytics,UG,Jindal Global Business School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:bba,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,BBA (Hons.) Financial Markets,UG,Jindal Global Business School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:bba,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,BBA (Hons.) Family Business,UG,Jindal Global Business School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,GAP:bba,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
op-jindal-global-university,Integrated BBA (Hons.) + MBA,Integrated,Jindal Global Business School,,"Sonipat, Haryana",on-campus,open_to_international,https://jgu.edu.in/admissions,https://jgu.edu.in/admissions,,no,,mba,"JGU reports 16,000+ students and faculty/students from 75+/50+ countries campus-wide; per-programme international quota and fee not individually re-verified in this pass."
